County Name,Partially Covered Age Group 5-9,Partially Covered Age Group 10-14,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 5-9,Fully Covered Age Group 10-14,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
CRAWFORD,206,191,229,324,252,251,213,225,221,221,271,321,399,373,248,178,110,54,26,,,,611,1592,2018,1512,1752,1915,2000,2110,2646,3105,3893,3912,3476,2534,1685,982,544,175,26,
CUMBERLAND,1451,1167,1385,1340,1403,1545,1587,1491,1356,1531,1524,1646,1566,1549,1322,868,587,257,82,11,5,,3709,7102,7321,7626,9196,10049,10033,9363,10610,11276,12622,12511,11293,7493,4922,3094,1698,539,73,9
DAUPHIN,1090,1079,944,1328,1595,1478,1450,1233,1151,1249,1232,1349,1387,1146,763,492,366,198,69,17,,,3892,8022,7848,9011,9737,9997,9926,9956,11828,12721,14182,13485,11024,6965,4403,2830,1423,411,59,6
DELAWARE,5009,3606,2521,3051,2794,3283,3406,3312,2831,3008,3468,3811,4252,3533,2228,1376,1065,646,227,37,,,11192,21102,18005,17514,20603,22650,21984,20886,23864,26700,28632,26323,20338,14212,9225,6284,3513,1175,166,9
ELK,76,65,60,84,85,91,80,66,60,72,99,139,122,91,82,78,49,18,16,7,,,210,580,668,565,676,699,759,813,1273,1540,1803,1716,1480,968,761,503,254,84,12,
ERIE,1489,1177,773,1075,1055,1114,1059,946,857,927,1093,1232,1608,1566,936,603,451,255,83,8,,34,3459,7549,8479,8172,8630,9131,9026,9054,11028,12254,14190,13502,10610,6957,4683,2790,1539,518,83,8
FAYETTE,227,269,295,382,382,389,422,447,389,512,552,615,700,693,454,310,184,122,41,9,,,985,2419,2677,2720,3055,3235,3586,3877,4945,5610,6975,7317,6242,4080,2796,1660,908,282,32,
FOREST,7,6,10,6,14,12,10,14,18,32,24,19,44,46,31,21,11,5,,,,,17,63,149,362,501,487,420,328,397,434,405,421,326,231,174,85,30,6,,
FRANKLIN,394,360,309,455,426,414,394,399,408,411,446,413,378,333,333,206,170,100,49,7,,,1333,2907,2691,2436,3039,3302,3460,3772,4352,4858,5577,6046,5837,4479,3063,1978,1034,309,42,
FULTON,5,,23,17,24,35,22,19,20,29,24,31,18,25,22,12,5,5,,,,,32,110,114,127,141,140,194,206,302,347,456,513,452,353,273,131,59,21,,
GREENE,19,61,74,96,81,93,97,107,116,127,115,169,207,159,117,69,37,28,12,,,,161,472,589,696,856,841,940,982,1161,1320,1605,1797,1497,998,548,329,168,55,5,
HUNTINGDON,77,62,58,127,103,134,104,101,108,126,127,106,139,156,118,63,52,22,11,,,,203,636,980,932,1218,1184,1318,1345,1566,1659,1909,2033,1821,1315,891,535,257,78,13,
INDIANA,202,171,149,253,207,205,215,211,178,211,252,293,330,284,167,135,102,54,22,,,,508,1301,1918,1491,1535,1763,1808,1858,2390,2879,3664,3853,3330,2225,1692,928,436,122,23,
JEFFERSON,53,70,89,98,96,107,128,109,94,109,118,152,155,138,93,80,53,46,15,,,,251,640,750,663,756,897,959,1049,1290,1596,2169,2281,1887,1369,1052,650,347,108,17,
JUNIATA,37,31,41,32,20,41,41,43,41,51,49,43,45,35,32,36,22,19,9,,,,117,351,375,289,357,378,461,491,676,788,945,1045,920,679,538,348,148,64,5,
LACKAWANNA,1772,1341,731,834,835,904,886,864,744,807,863,841,866,844,633,448,310,219,103,19,,,3527,7255,7344,7104,8128,8560,8397,8237,10076,11129,12178,11304,9783,6838,4645,2883,1554,539,64,6
LANCASTER,2499,1832,1221,1803,1762,1867,1691,1418,1358,1453,1571,1641,1711,1506,1172,887,697,508,196,43,,,6540,14845,16332,15587,17572,17697,17540,17313,19951,23154,25606,24840,21695,15932,11447,7720,4331,1451,235,12
LAWRENCE,201,175,179,281,255,237,273,301,278,338,329,427,577,523,408,284,209,140,35,6,,,683,1750,1737,1596,1803,2085,2300,2309,3105,3528,4427,4381,3675,2422,1787,1126,593,179,37,
LEBANON,445,431,330,427,424,421,425,453,396,369,411,411,425,399,338,270,190,114,34,7,,,1593,3455,3248,2983,3578,3843,4172,4351,4856,5558,6191,6351,5569,3904,2742,1804,972,335,63,
LEHIGH,2843,2210,1345,1799,1774,1832,1658,1534,1256,1273,1292,1313,1289,1040,693,453,392,291,114,18,,,6520,13592,13298,13711,15456,16164,16676,16449,18243,20260,21428,19302,16047,11184,7407,4908,2675,838,124,5
LUZERNE,1225,1162,982,1227,1251,1235,1105,1102,1025,1138,1208,1152,1258,1097,790,584,423,278,115,20,,,4329,9489,9574,9261,10539,11106,11534,12017,14490,16251,17041,16181,13967,9516,6297,3813,2197,629,86,8
LYCOMING,247,216,244,317,317,348,338,304,291,315,363,394,430,376,312,232,166,129,39,10,,,861,2136,2471,2450,2890,3139,3070,3086,3921,4577,5648,5719,4904,3349,2235,1520,757,249,38,
MCKEAN,23,53,169,177,151,141,123,168,191,222,267,320,351,286,204,202,110,62,18,,,,282,751,770,690,764,835,896,1016,1255,1424,1811,1775,1368,938,658,397,236,66,8,
MERCER,267,269,259,281,289,266,290,273,286,356,376,484,587,519,427,272,213,125,48,15,,,782,2006,2297,2042,2326,2575,2590,2882,3755,4567,5538,5557,4810,3475,2458,1514,910,294,43,
MIFFLIN,72,74,64,93,103,117,96,94,109,123,117,101,88,72,65,56,33,28,13,,,,276,687,789,782,875,905,1051,1130,1487,1838,2013,2155,2015,1544,1137,726,330,110,14,
MONROE,452,550,506,717,586,573,530,529,533,616,743,754,791,667,407,218,153,93,31,,,,2179,5160,5351,4397,4391,4628,4970,5620,7196,8926,9361,8393,6488,4263,2665,1525,699,175,24,
MONTGOMERY,10634,6906,3593,4087,4379,5235,5827,5419,4912,5570,6120,6737,7345,6503,4531,3088,2088,1197,402,76,18,,18463,33123,25112,26400,31153,34230,33892,31645,36306,39015,40781,37184,29712,21470,14621,9798,5879,1941,272,45
MONTOUR,192,123,42,47,70,77,53,50,50,56,69,78,67,63,33,30,34,27,5,,,,327,596,540,732,1032,889,779,721,817,1033,1160,1141,951,685,501,370,194,56,9,
NORTHAMPTON,1623,1371,1005,1495,1121,1156,1073,999,984,1084,1219,1281,1301,1159,669,497,370,283,95,17,,,4598,10449,10848,9748,10762,11100,11636,11991,14584,16029,17208,16336,14144,10025,6463,4032,2257,682,103,10
NORTHUMBERLAND,212,218,155,197,203,214,187,222,179,205,241,231,217,220,163,117,83,60,18,,,,770,1820,2151,2189,2513,2810,2770,3001,3534,4297,4858,4871,4190,2941,2084,1301,664,194,23,
PERRY,53,87,91,145,128,149,128,123,134,202,190,205,201,250,164,117,64,40,6,,,,334,722,778,744,916,1029,1135,1240,1564,1918,2234,2332,1944,1271,798,455,197,42,,
PHILADELPHIA,2142,2424,2651,3000,4255,5067,4115,3409,2661,2861,2940,3126,3222,2787,1707,1170,766,426,166,33,8,,5469,9557,10603,18218,20813,17748,15244,13431,14665,15807,15844,13338,10532,7672,4957,2937,1503,469,70,31
PIKE,125,182,295,258,211,188,211,221,236,297,339,414,431,489,384,255,132,50,22,,,,615,1549,1320,1024,1037,1056,1255,1385,2051,2669,2989,2806,2456,1703,1085,543,248,54,6,
POTTER,14,31,53,42,35,40,27,47,36,49,55,88,114,100,87,61,23,10,,,,,79,183,192,165,198,207,240,270,367,491,630,647,644,424,292,159,83,28,7,
SCHUYLKILL,324,384,318,411,377,426,405,416,368,429,462,479,534,453,289,217,183,142,78,8,,,1438,3251,3357,3420,3979,4267,4638,5073,6009,6869,7672,7870,6622,4501,2893,1809,982,272,32,
SNYDER,96,76,63,84,78,79,67,72,69,65,95,91,79,66,71,49,31,23,,,,,251,731,790,608,721,760,822,934,1218,1436,1523,1637,1473,1114,737,430,213,72,7,
SOMERSET,107,114,131,184,203,167,181,188,184,227,267,316,351,317,246,188,155,112,32,5,,,395,967,1247,1246,1582,1727,1820,1902,2324,2663,3374,3657,3226,2102,1539,998,538,145,17,
SULLIVAN,7,,10,15,13,16,8,19,12,17,39,52,60,60,70,41,25,8,,,,,27,65,80,86,96,98,113,121,206,279,405,393,367,263,192,117,39,12,,
SUSQUEHANNA,76,81,65,62,57,67,82,72,68,87,119,144,190,176,122,86,51,30,9,,,,278,715,689,499,630,665,777,783,1124,1431,1761,1801,1564,1124,735,444,209,61,12,
TIOGA,87,92,83,84,78,96,97,94,108,112,111,194,212,210,156,124,68,45,10,,,,299,718,637,558,634,665,786,813,1084,1319,1733,1874,1697,1233,990,507,188,53,12,
UNION,277,149,97,147,97,102,115,84,87,111,80,104,85,96,70,57,67,55,16,5,,,441,1101,1388,780,896,1135,1091,1186,1455,1626,1814,1841,1702,1272,920,611,315,106,7,
VENANGO,113,88,97,133,109,142,134,138,143,173,190,260,311,305,202,134,77,47,11,,,,351,866,874,739,939,1087,1115,1250,1542,1965,2516,2587,2003,1367,876,531,275,85,12,
WARREN,18,47,97,113,122,139,142,138,120,177,223,253,270,257,189,91,98,44,17,,,,290,689,631,612,700,817,796,842,1174,1535,1864,1979,1575,1148,781,455,232,72,8,
WASHINGTON,960,810,567,725,765,865,873,786,779,855,880,1087,1251,1141,736,497,334,185,52,16,,,2577,5454,5402,4921,5853,6915,7344,7320,8951,10395,12031,11800,10000,6613,4477,2767,1517,458,53,
WAYNE,230,197,129,184,196,186,183,173,159,197,229,288,335,373,342,216,108,52,23,,,,585,1251,1488,1163,1228,1324,1367,1545,1965,2428,2838,2866,2499,1732,1108,607,274,67,6,
WESTMORELAND,1480,1095,868,1102,1101,1150,1150,1088,971,1342,1373,1651,1885,1771,1118,851,599,424,153,20,5,,3629,8118,8363,7867,8668,9626,10238,10544,13651,16160,19703,19631,16943,11371,7818,5006,2763,804,104,8
WYOMING,91,76,64,87,76,92,90,67,83,113,126,131,154,165,111,80,61,21,13,,,,303,749,721,636,689,732,753,837,1130,1371,1579,1514,1361,990,577,298,118,32,,
YORK,1265,1306,1196,1465,1477,1527,1526,1403,1246,1491,1340,1425,1375,1210,911,641,485,272,89,14,,,5383,11901,10879,10602,12361,13573,14383,14703,17983,20305,22072,21189,18255,12602,8268,5138,2569,777,102,11
OUT-OF-STATE,3068,4639,7512,11554,9718,10283,9936,9239,8560,9623,10714,11714,13268,12135,7975,5090,3006,1607,500,136,212,,7028,15535,27506,22202,24629,24895,24959,24559,29216,32044,34704,33168,26061,17509,11546,6961,3579,997,139,136
