County Name,Partially Covered Age Group 5-9,Partially Covered Age Group 10-14,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 5-9,Fully Covered Age Group 10-14,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
DELAWARE,1728,2121,2495,2976,2710,3110,3135,3081,2644,2840,3238,3530,3974,3292,2114,1299,1017,613,216,38,,,11153,20991,17881,17364,20445,22481,21858,20735,23738,26560,28472,26173,20249,14101,9175,6248,3486,1160,161,8
ELK,5,23,55,79,81,88,71,61,56,66,93,131,116,83,71,77,47,16,16,7,,,210,576,667,564,665,697,755,813,1282,1534,1789,1704,1483,961,759,500,255,82,12,
ERIE,502,642,747,1033,968,1040,967,881,811,897,1023,1193,1514,1477,875,576,447,267,93,8,,38,3456,7509,8415,8095,8570,9088,8957,8990,10950,12193,14107,13441,10556,6889,4647,2745,1503,502,81,7
FAYETTE,108,183,290,376,376,387,402,434,403,498,526,578,677,671,414,291,182,126,45,10,,,984,2399,2638,2684,3014,3198,3548,3835,4876,5593,6937,7280,6206,4049,2774,1640,891,274,30,
FOREST,,,11,6,13,11,10,11,17,33,25,23,38,41,29,20,11,5,,,,,18,61,150,366,500,487,419,326,392,433,402,419,325,233,171,84,31,5,,
FRANKLIN,236,279,295,434,424,395,377,378,407,405,445,392,350,317,308,195,164,97,49,6,,,1323,2884,2653,2387,2997,3255,3423,3710,4300,4821,5547,6021,5811,4468,3034,1969,1023,307,41,
FULTON,,,21,13,23,35,18,17,21,28,26,27,14,23,19,12,,,,,,,31,110,111,124,136,139,193,202,298,340,457,511,455,352,272,129,60,20,,
GREENE,,41,71,93,78,85,94,98,113,125,108,156,191,153,117,64,35,27,11,,,,163,466,584,688,851,827,931,971,1156,1317,1604,1784,1489,995,542,327,169,54,5,
HUNTINGDON,34,43,62,124,95,117,107,97,99,119,124,104,141,146,107,61,50,20,13,,,,203,626,978,946,1222,1199,1324,1345,1556,1662,1900,2027,1818,1309,889,525,255,75,13,
INDIANA,65,121,144,243,194,196,205,205,173,200,244,283,301,272,162,124,93,52,21,5,,,504,1293,1911,1479,1518,1757,1788,1850,2389,2863,3650,3841,3325,2212,1686,926,434,122,20,
JEFFERSON,23,43,82,96,89,101,113,100,83,105,116,147,152,135,97,82,62,53,18,,,,251,640,734,652,744,888,953,1042,1283,1594,2142,2273,1886,1352,1041,636,336,104,16,
JUNIATA,23,22,37,33,22,41,38,41,38,44,46,46,42,31,28,33,19,15,8,,,,117,349,375,283,354,376,458,482,674,786,933,1043,926,671,539,345,147,64,5,
LACKAWANNA,1029,945,708,804,795,856,819,822,690,765,807,804,819,794,602,442,293,216,101,19,,,3522,7231,7285,7050,8072,8501,8313,8202,10024,11077,12122,11254,9732,6795,4606,2864,1532,534,62,6
LANCASTER,1208,1226,1220,1744,1676,1777,1585,1343,1290,1377,1512,1539,1601,1427,1121,857,678,506,188,44,,,6531,14736,16201,15413,17416,17605,17396,17243,19835,23044,25460,24752,21608,15826,11380,7662,4281,1425,229,11
LAWRENCE,54,105,191,276,248,234,265,282,276,323,318,405,553,488,394,275,212,144,34,8,,,682,1731,1713,1571,1781,2064,2292,2280,3085,3509,4385,4367,3661,2388,1770,1101,574,177,33,
LEBANON,258,324,321,414,406,411,398,410,393,346,401,375,387,381,310,256,179,108,32,7,,,1592,3424,3201,2940,3527,3807,4138,4281,4824,5535,6152,6323,5558,3873,2725,1802,964,333,62,
LEHIGH,421,933,1333,1788,1734,1770,1590,1505,1229,1238,1278,1259,1249,991,670,423,374,292,110,18,,,6508,13529,13171,13590,15343,16068,16553,16339,18160,20181,21323,19246,15990,11110,7391,4885,2658,832,124,5
LUZERNE,588,802,953,1197,1204,1218,1059,1010,955,1097,1151,1097,1173,1032,747,524,394,271,107,19,,,4318,9431,9465,9142,10400,11012,11447,11966,14407,16157,16954,16097,13922,9459,6268,3788,2175,627,85,8
LYCOMING,113,148,224,315,313,333,314,297,279,301,358,363,400,343,292,209,157,121,37,10,,,857,2127,2445,2425,2855,3103,3028,3061,3884,4551,5629,5688,4894,3320,2221,1514,752,245,39,
MCKEAN,5,41,171,165,146,137,117,149,173,202,249,292,326,269,188,175,103,61,18,,,,281,732,751,678,741,821,881,1014,1239,1408,1800,1759,1358,926,656,390,233,67,8,
MERCER,123,191,257,262,280,251,274,261,273,347,378,458,571,507,411,269,214,136,49,16,,,786,1994,2275,2001,2282,2543,2567,2838,3719,4523,5509,5527,4790,3453,2441,1494,898,286,42,
MIFFLIN,33,52,66,87,103,105,88,84,109,119,121,97,86,77,58,53,31,28,12,,,,266,681,780,771,864,894,1044,1113,1480,1810,2007,2152,2010,1539,1130,725,326,111,14,
MONROE,97,329,507,695,559,549,497,511,512,583,707,699,742,615,372,198,146,83,30,,,,2175,5131,5315,4355,4350,4600,4924,5578,7163,8901,9315,8347,6453,4245,2661,1505,695,177,22,
MONTGOMERY,3721,3777,3609,4015,4161,4894,5347,4989,4532,5169,5628,6244,6938,6152,4376,2979,2065,1226,407,74,19,,18430,32942,24934,26215,30983,34036,33643,31468,36062,38800,40512,36976,29555,21265,14485,9681,5754,1908,266,44
MONTOUR,94,76,42,45,63,67,48,44,46,53,67,72,62,59,32,28,34,25,,,,,326,591,536,723,1028,888,776,720,812,1019,1157,1142,948,681,501,366,194,54,9,
NORTHAMPTON,310,610,992,1458,1089,1138,1027,973,935,1031,1172,1231,1260,1115,646,478,364,278,92,17,,,4607,10402,10782,9662,10668,11031,11576,11942,14515,15984,17118,16276,14085,9960,6434,4008,2240,674,103,9
NORTHUMBERLAND,79,131,149,192,190,197,168,197,171,192,231,215,201,205,157,111,79,58,16,,,,770,1814,2135,2164,2502,2803,2758,2972,3513,4280,4852,4855,4188,2920,2072,1293,657,191,23,
PERRY,24,60,88,137,121,154,122,123,132,189,194,200,200,238,164,115,62,40,6,,,,335,715,775,729,903,1015,1124,1220,1544,1904,2226,2320,1942,1254,790,451,195,41,,
PHILADELPHIA,738,1810,2595,2912,4111,4887,3881,3206,2537,2698,2800,2920,2978,2579,1575,1052,695,399,150,31,7,,5393,9412,10499,18054,20630,17627,15122,13333,14549,15715,15741,13257,10487,7616,4935,2932,1491,464,70,31
PIKE,57,129,290,249,209,178,207,211,227,289,313,390,405,476,372,244,125,47,21,,,,618,1540,1311,1014,1036,1044,1254,1366,2037,2650,2959,2776,2422,1677,1078,535,244,54,6,
POTTER,5,24,51,39,30,38,25,40,38,48,49,81,106,91,79,63,18,9,,,,,78,182,191,161,194,204,238,265,362,487,629,642,637,418,282,158,83,27,7,
SCHUYLKILL,109,229,311,397,366,409,391,392,339,408,444,455,498,441,274,199,174,130,74,8,,,1437,3228,3317,3394,3934,4246,4602,5041,5973,6843,7641,7842,6599,4474,2877,1798,980,270,31,
SNYDER,39,45,58,81,71,71,60,71,63,64,85,84,69,63,67,48,28,21,,,,,249,733,777,607,712,754,814,928,1212,1433,1520,1633,1460,1116,729,430,212,71,7,
SOMERSET,52,87,132,165,184,157,162,179,164,220,259,308,333,302,233,184,151,106,34,5,,,393,957,1216,1206,1541,1670,1771,1866,2287,2623,3342,3622,3203,2086,1534,991,532,143,17,
SULLIVAN,,,9,14,12,16,9,18,13,15,40,50,59,57,68,40,25,8,,,,,27,65,80,85,95,95,112,119,206,278,404,392,371,257,192,114,39,12,,
SUSQUEHANNA,17,43,61,62,57,67,77,68,58,87,104,134,169,163,105,73,44,24,9,,,,278,710,683,499,623,655,775,780,1113,1427,1758,1790,1553,1115,732,443,209,60,12,
TIOGA,47,65,81,79,70,91,90,84,91,104,101,171,197,205,133,114,66,40,9,,,,301,710,638,551,631,657,779,813,1072,1314,1728,1863,1678,1227,985,503,184,53,12,
UNION,160,96,93,144,85,96,105,81,77,89,74,101,76,87,69,51,56,42,11,5,,,439,1100,1376,770,893,1127,1088,1180,1449,1614,1805,1841,1699,1264,913,610,319,102,7,
VENANGO,61,66,94,135,107,128,131,128,130,169,176,241,299,288,194,123,69,48,11,,,,347,861,863,726,928,1078,1100,1239,1523,1961,2515,2553,2002,1353,875,526,274,85,12,
WARREN,5,42,101,107,119,135,139,131,122,163,226,242,269,254,185,90,95,46,18,,,,292,683,625,605,690,814,787,830,1165,1520,1856,1950,1560,1121,775,448,226,71,7,
WASHINGTON,364,485,565,721,747,839,838,753,742,814,851,1057,1196,1096,696,483,311,180,50,17,,,2568,5416,5345,4847,5788,6835,7287,7256,8853,10351,11951,11734,9952,6575,4449,2750,1502,457,51,
WAYNE,120,132,126,174,189,176,179,164,144,185,212,269,310,362,322,209,107,49,23,,,,587,1243,1487,1154,1219,1316,1355,1532,1958,2421,2827,2847,2483,1720,1092,597,275,65,6,
WESTMORELAND,727,721,848,1072,1084,1107,1103,1050,951,1344,1359,1658,1864,1758,1102,847,587,426,151,17,5,,3631,8074,8280,7778,8584,9567,10129,10476,13508,16070,19528,19500,16815,11283,7745,4943,2714,783,102,8
WYOMING,44,53,62,89,71,86,88,66,81,100,105,116,142,145,97,73,58,22,13,,,,303,740,714,633,685,727,741,835,1121,1372,1567,1510,1353,982,574,296,113,31,,
YORK,566,937,1191,1455,1424,1472,1458,1368,1220,1460,1292,1351,1274,1128,848,621,450,256,87,14,,,5360,11821,10753,10447,12201,13454,14227,14593,17825,20167,21965,21111,18211,12533,8221,5105,2550,766,100,11
OUT-OF-STATE,1243,3820,7331,10976,9091,9595,9276,8625,8060,9117,10151,11049,12662,11614,7625,4878,2831,1545,476,132,211,,6992,15440,27297,22028,24439,24711,24797,24416,29069,31869,34540,33037,25996,17413,11490,6909,3563,988,135,137
