County Name,Partially Covered Age Group 5-9,Partially Covered Age Group 10-14,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 5-9,Fully Covered Age Group 10-14,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
ERIE,2054,1501,828,1145,1174,1214,1175,1041,929,1035,1235,1333,1699,1629,982,643,471,266,89,9,,40,3463,7582,8535,8204,8694,9171,9060,9111,11094,12282,14253,13550,10650,6990,4692,2807,1544,523,83,8
FAYETTE,354,367,325,409,398,419,444,491,415,563,584,671,747,737,483,323,200,128,44,9,,,990,2439,2707,2744,3084,3263,3614,3905,4966,5629,6998,7324,6269,4093,2803,1669,910,287,32,
FOREST,8,7,10,9,19,12,11,16,21,33,23,28,42,48,33,22,10,5,,,,,17,65,151,364,503,489,420,325,397,441,403,425,327,232,175,85,31,6,,
FRANKLIN,488,427,322,494,450,431,403,394,405,412,460,441,382,345,346,219,173,100,47,7,,,1347,2927,2705,2496,3070,3352,3512,3816,4402,4901,5598,6083,5841,4507,3073,1988,1044,313,43,
FULTON,9,5,24,17,27,35,23,14,19,29,23,35,22,23,20,13,5,5,,,,,32,109,117,128,143,142,201,208,304,352,459,513,454,357,271,134,59,21,,
GREENE,28,68,77,101,89,96,104,115,122,123,116,184,206,164,121,70,38,29,12,,,,162,479,591,711,876,855,947,993,1171,1331,1612,1800,1506,1001,553,331,168,55,5,
HUNTINGDON,92,66,59,139,125,151,116,114,121,128,133,114,146,161,125,64,57,22,12,,,,206,643,990,943,1218,1204,1337,1354,1598,1668,1926,2043,1824,1319,891,537,261,79,13,
INDIANA,276,224,150,276,228,227,233,237,184,236,277,308,349,299,175,135,108,54,22,,,,510,1308,1934,1503,1542,1776,1820,1881,2409,2900,3663,3862,3344,2235,1697,936,436,120,25,
JEFFERSON,90,88,94,104,111,119,138,128,99,128,126,155,165,147,99,89,52,48,14,,,,252,646,758,667,763,907,968,1057,1297,1598,2182,2283,1897,1372,1051,650,352,109,17,
JUNIATA,46,39,42,37,19,35,42,44,43,52,52,45,43,36,31,38,22,19,9,,,,116,354,377,292,369,380,464,502,680,791,953,1043,928,683,539,349,150,64,5,
LACKAWANNA,2209,1607,751,898,886,979,967,933,789,883,935,919,924,901,645,475,310,223,101,19,,17,3533,7272,7387,7132,8181,8602,8435,8277,10092,11180,12213,11343,9789,6871,4659,2894,1564,541,68,6
LANCASTER,3719,2449,1258,1905,1902,2028,1822,1574,1456,1563,1730,1791,1800,1566,1221,943,732,523,211,45,,23,6563,14913,16445,15716,17679,17789,17626,17387,20040,23211,25701,24955,21725,16027,11481,7767,4367,1477,238,12
LAWRENCE,295,234,191,299,276,268,294,326,303,355,351,487,625,559,432,300,225,149,37,6,,,683,1761,1756,1613,1817,2105,2325,2325,3138,3545,4438,4408,3689,2435,1796,1130,606,180,37,
LEBANON,656,553,337,457,455,476,440,467,416,383,433,461,459,419,351,287,204,125,37,7,,6,1595,3488,3272,3014,3609,3874,4213,4388,4901,5575,6228,6354,5580,3929,2761,1812,974,337,64,
LEHIGH,3751,2676,1401,1870,1875,1932,1739,1608,1337,1326,1352,1380,1350,1089,720,474,407,309,116,20,,28,6557,13619,13375,13814,15540,16263,16744,16519,18306,20326,21479,19327,16097,11224,7429,4917,2696,844,124,5
LUZERNE,1655,1407,1022,1293,1325,1318,1197,1177,1106,1198,1284,1246,1323,1188,844,614,458,290,116,22,,,4325,9525,9666,9355,10652,11187,11613,12082,14546,16333,17060,16238,14005,9582,6312,3837,2205,634,89,8
LYCOMING,359,276,268,343,350,380,370,319,311,325,405,438,455,407,342,247,183,134,38,11,,,863,2146,2504,2456,2911,3166,3097,3103,3945,4602,5677,5728,4917,3372,2239,1533,761,250,39,
MCKEAN,81,128,179,185,157,151,145,182,206,236,288,357,359,303,211,211,118,63,19,,,,285,756,774,695,772,846,907,1023,1270,1428,1815,1787,1378,942,663,398,239,66,8,
MERCER,351,325,268,313,306,298,315,298,305,379,419,534,618,548,449,292,220,127,47,15,,,784,2024,2313,2059,2339,2593,2606,2899,3781,4578,5535,5591,4807,3499,2466,1519,914,299,44,
MIFFLIN,108,97,71,92,124,113,94,101,106,119,119,98,89,76,64,62,40,31,15,,,,277,691,805,798,898,922,1063,1156,1506,1857,2033,2164,2015,1552,1141,731,333,112,14,
MONROE,592,636,526,742,609,614,560,555,565,661,816,840,834,703,427,234,163,103,33,,,,2188,5173,5407,4426,4416,4649,5007,5641,7226,8951,9401,8425,6508,4282,2679,1532,699,178,24,
MONTGOMERY,13762,8398,3743,4389,4743,5684,6409,5946,5357,6044,6622,7344,7675,6742,4747,3244,2221,1294,423,79,17,108,18588,33253,25261,26522,31288,34420,34041,31760,36497,39202,40935,37314,29791,21595,14692,9859,5899,1965,273,46
MONTOUR,268,147,42,52,75,103,63,53,57,64,76,82,73,63,41,29,34,26,5,,,,329,598,536,738,1037,889,782,721,821,1037,1164,1143,952,687,505,370,194,57,9,
NORTHAMPTON,2090,1634,1023,1543,1201,1237,1152,1070,1021,1154,1256,1348,1339,1187,704,525,385,290,98,17,,,4595,10498,10908,9796,10839,11156,11682,12044,14602,16081,17268,16377,14176,10065,6495,4038,2266,690,104,10
NORTHUMBERLAND,297,263,162,207,234,242,217,238,201,227,261,246,231,237,169,120,83,59,19,,,,776,1836,2167,2196,2542,2813,2793,3020,3543,4312,4870,4883,4193,2949,2090,1310,665,198,23,
PERRY,93,114,102,146,127,154,140,133,132,206,197,210,213,250,169,115,67,41,6,,,,335,728,782,762,930,1041,1141,1254,1578,1930,2256,2345,1947,1278,811,457,197,44,,
PHILADELPHIA,3369,3028,2665,3088,4486,5317,4395,3607,2816,3034,3119,3327,3444,2960,1824,1247,814,448,178,33,8,8,5528,9684,10685,18317,20935,17851,15341,13495,14738,15899,15918,13418,10566,7719,4977,2953,1510,472,71,31
PIKE,163,198,299,267,217,202,213,231,250,307,369,450,455,515,392,271,139,50,22,,,,619,1553,1328,1036,1041,1069,1266,1386,2064,2684,3000,2813,2471,1718,1094,544,249,54,6,
POTTER,24,38,51,45,40,47,33,42,38,51,64,96,127,104,90,63,25,11,,,,,80,183,197,164,197,207,251,271,373,496,641,654,646,428,295,161,83,28,7,
SCHUYLKILL,490,500,334,427,404,448,435,439,397,460,493,505,552,464,303,225,187,144,78,8,,,1440,3264,3383,3457,3992,4293,4665,5100,6034,6899,7680,7902,6644,4514,2903,1817,990,273,32,
SNYDER,136,100,62,86,86,85,85,74,76,78,102,101,84,79,73,52,33,24,,,,,250,733,803,613,724,765,835,939,1223,1440,1524,1645,1461,1129,739,431,217,72,7,
SOMERSET,133,136,137,199,215,186,195,202,192,229,284,330,362,330,261,192,161,116,33,5,,,401,975,1262,1255,1602,1737,1838,1915,2347,2685,3387,3667,3244,2112,1547,1002,542,145,17,
SULLIVAN,12,9,11,15,14,17,10,18,16,16,39,53,57,58,71,41,24,9,,,,,27,64,81,87,96,100,114,121,205,282,407,396,370,266,191,116,41,12,,
SUSQUEHANNA,95,92,63,69,65,72,93,80,74,94,132,161,208,187,125,96,56,29,9,,,,281,717,697,497,634,670,782,790,1127,1429,1773,1799,1573,1135,734,445,212,61,12,
TIOGA,106,108,88,92,90,107,117,103,123,129,128,203,227,218,170,131,73,47,12,,,,299,722,641,563,642,673,792,817,1089,1330,1746,1887,1708,1240,991,517,191,53,12,
UNION,362,177,98,162,108,121,130,93,94,129,103,115,86,99,71,59,67,57,17,5,,,446,1099,1398,786,896,1147,1101,1188,1455,1634,1822,1848,1702,1272,923,615,315,108,7,
VENANGO,142,111,106,134,119,145,138,151,148,187,208,274,326,317,218,144,81,47,12,,,,349,875,887,743,954,1091,1131,1259,1552,1978,2528,2597,2013,1372,880,533,276,86,12,
WARREN,33,58,98,124,130,141,146,152,132,183,228,263,268,263,202,95,102,46,17,,,,289,697,637,622,711,832,803,850,1196,1554,1884,1992,1573,1160,785,458,234,72,8,
WASHINGTON,1460,1066,603,786,805,905,925,846,825,902,933,1141,1311,1187,763,516,346,191,54,16,,,2578,5475,5440,4991,5906,6965,7371,7366,8996,10422,12085,11836,10009,6674,4503,2777,1524,466,53,
WAYNE,278,232,130,198,210,198,198,174,164,222,249,310,360,391,359,220,111,52,23,,,,585,1260,1488,1180,1239,1339,1388,1572,1979,2444,2859,2879,2519,1750,1122,614,279,70,6,
WESTMORELAND,1903,1347,905,1151,1173,1238,1217,1145,1029,1413,1454,1759,1956,1833,1172,890,624,437,151,21,5,11,3631,8145,8421,7934,8748,9689,10321,10598,13716,16218,19769,19707,16961,11440,7842,5014,2780,813,106,7
WYOMING,120,88,63,91,80,97,97,74,85,131,141,147,170,178,120,87,63,18,12,,,,304,748,732,640,689,734,755,844,1148,1376,1580,1519,1368,995,584,298,121,32,5,
YORK,2051,1767,1225,1546,1561,1645,1639,1496,1344,1585,1440,1541,1445,1253,959,645,497,282,89,14,,,5410,11965,11008,10697,12467,13678,14498,14800,18078,20423,22173,21232,18266,12680,8305,5183,2577,782,104,11
OUT-OF-STATE,4476,5273,7705,12295,10565,11126,10758,9903,9115,10251,11380,12480,13777,12566,8243,5254,3106,1657,517,141,213,7,7046,15640,27667,22334,24766,25035,25068,24663,29323,32161,34842,33221,26126,17620,11584,6982,3594,1003,142,135
